Name,Cuisine,Neighborhood,Reviews,Price,Rating,Open Time,Close Time,Photos
Top Dog,Hot Dog,Southside,1056,1,4.6,11,27,381
Toss Noodle Bar,Noodle,Downtown Berkeley,568,1,4.4,11,21.5,344
Triple Rock Brewing,Brewpub,Downtown Berkeley,535,2,4.4,12,22,536
Tuk Tuk Thai,Thai,Downtown Berkeley,503,2,4.1,11,24,246
Turkish Kitchen,Turkish,Downtown Berkeley,254,1,4.3,11,20,219
U :Dessert Story,Dessert,North Berkeley,207,2,4.2,13,22.5,424
U Cha,Bubble Tea,Downtown Berkeley,542,1,4.4,12,22,212
Udupi Palace,Indian,Downtown Berkeley,155,2,4.1,11.5,21,55
Via Del Corso,Italian,North Berkeley,399,2,4.6,17,22,375
Victory Point Cafe,Cafe,North Berkeley,705,1,4.7,10,23,342
Yifang Taiwan Fruit Tea,Cafe,Southside,274,2,4.3,11,20,314
Yin Ji Chang Fen,Cantonese,Downtown Berkeley,105,1,4.2,10.5,20.5,205
Yogurt Park,Yogurt,Southside,269,1,4.6,12,23.5,91
Starbucks,Coffee Shop,Downtown Berkeley,304,2,4.0,7,20,104
